
Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:22 2018
Timers Off: Sat Sep  1 17:14:23 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:32 2018
Timers Off: Sat Sep  1 17:14:33 2018

Wall Time:        0.50 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:46 2018
Timers Off: Sat Sep  1 17:14:47 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:27 2018
Timers Off: Sat Sep  1 17:15:28 2018

Wall Time:        0.90 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:49 2018
Timers Off: Sat Sep  1 17:15:50 2018

Wall Time:        1.19 seconds

HF: Form H                  :      0.000u      0.000s      0.072w     14 calls
HF: Form S/X                :      0.000u      0.000s      0.002w     14 calls
HF: Guess                   :      1.583u      0.033s      0.965w     14 calls
| SAD Guess                 :      1.517u      0.033s      0.941w     10 calls
HF: Form G                  :      0.083u      0.017s      0.029w    145 calls
| JK: D                     :      0.000u      0.000s      0.001w    145 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w    145 calls
| JK: JK                    :      0.083u      0.017s      0.025w    145 calls
| | DFH: compute_JK()       :      0.083u      0.017s      0.024w    145 calls
| | | DFH: Grabbing AOs     :      0.000u      0.000s      0.000w    145 calls
| | | DFH: compute_J        :      0.017u      0.000s      0.007w    145 calls
| | | DFH: compute_K        :      0.050u      0.017s      0.015w    145 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w    145 calls
HF: Form F                  :      0.000u      0.000s      0.000w    145 calls
HF: DIIS                    :      0.050u      0.017s      0.032w    145 calls
| DIISManager::add_entry    :      0.000u      0.017s      0.019w    131 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.010w    117 calls
| | bMatrix setup           :      0.000u      0.000s      0.003w    117 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.003w    117 calls
| | New vector              :      0.000u      0.000s      0.003w    117 calls
HF: Form C                  :      0.017u      0.000s      0.014w    145 calls
HF: Form D                  :      0.000u      0.000s      0.000w    145 calls
Grad: V T Perturb           :      0.250u      0.100s      0.226w     13 calls
Grad: S                     :      0.000u      0.000s      0.002w     13 calls
Grad: JK                    :      2.333u      0.017s      1.487w     13 calls
| JKGrad: Amn               :      0.450u      0.000s      0.254w     13 calls
| JKGrad: Awmn              :      0.000u      0.000s      0.000w     13 calls
| JKGrad: AB                :      0.417u      0.000s      0.241w     13 calls
| JKGrad: UV                :      0.000u      0.000s      0.002w     13 calls
| JKGrad: ABx               :      0.350u      0.000s      0.224w     13 calls
| JKGrad: Amnx              :      0.750u      0.000s      0.462w     13 calls
Grad: XC                    :      0.000u      0.000s      0.000w     13 calls

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 18:01:31 2018
Timers Off: Sat Sep  1 18:01:50 2018

Wall Time:       18.68 seconds

DFH: initialize()           :      2.283u      0.000s      1.372w     36 calls
DFH: sparsity prep          :      0.667u      0.000s      0.413w     36 calls
DFH: AO Construction        :      0.000u      0.000s      0.021w     36 calls
DFH: AO-Met. Contraction    :      0.000u      0.000s      0.002w     36 calls
HF: Form H                  :      0.033u      0.000s      0.178w     36 calls
HF: Form S/X                :      0.000u      0.000s      0.005w     36 calls
HF: Guess                   :      3.900u      0.017s      2.350w     36 calls
SAD Guess                   :      3.817u      0.017s      2.265w     36 calls
HF: Form G                  :      0.017u      0.000s      0.021w    190 calls
JK: D                       :      0.000u      0.000s      0.001w    190 calls
JK: USO2AO                  :      0.000u      0.000s      0.004w    190 calls
JK: JK                      :      0.000u      0.000s      0.011w    190 calls
DFH: compute_JK()           :      0.000u      0.000s      0.010w    190 calls
DFH: Grabbing AOs           :      0.000u      0.000s      0.000w    190 calls
DFH: compute_J              :      0.000u      0.000s      0.003w    190 calls
DFH: compute_K              :      0.000u      0.000s      0.005w    190 calls
JK: AO2USO                  :      0.017u      0.000s      0.002w    190 calls
HF: Form F                  :      0.000u      0.000s      0.001w    190 calls
HF: DIIS                    :      0.017u      0.000s      0.047w    190 calls
DIISManager::add_entry      :      0.000u      0.000s      0.037w    154 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.006w    118 calls
bMatrix setup               :      0.000u      0.000s      0.001w    118 calls
bMatrix pseudoinverse       :      0.017u      0.000s      0.002w    118 calls
New vector                  :      0.000u      0.000s      0.001w    118 calls
HF: Form C                  :      0.000u      0.000s      0.009w    190 calls
HF: Form D                  :      0.000u      0.000s      0.000w    190 calls
DFMP2 Singles               :      0.000u      0.000s      0.002w     36 calls
DFMP2 Aia                   :      1.267u      0.017s      0.794w     36 calls
DFMP2 (A|mn)                :      0.050u      0.000s      0.018w     36 calls
DFMP2 (A|mn)C_mi            :      0.017u      0.000s      0.000w     36 calls
DFMP2 (A|mi)C_na            :      0.000u      0.000s      0.000w     36 calls
DFMP2 Aia Write             :      0.000u      0.000s      0.000w     36 calls
DFMP2 Qia                   :      0.617u      0.000s      0.447w     36 calls
DFMP2 Metric                :      0.617u      0.000s      0.385w     36 calls
DFMP2 Aia Read              :      0.000u      0.000s      0.001w     36 calls
DFMP2 (Q|A)(A|ia)           :      0.000u      0.000s      0.000w     36 calls
DFMP2 Qia Write             :      0.000u      0.000s      0.001w     36 calls
DFMP2 Energy                :      0.000u      0.000s      0.058w     36 calls
DFMP2 Qia Read              :      0.000u      0.000s      0.000w     72 calls

-----------------------------------------------------------
DFH: initialize()           :      2.283u      0.000s      1.372w     36 calls
| DFH: sparsity prep        :      0.667u      0.000s      0.413w     36 calls
| DFH: AO Construction      :      0.000u      0.000s      0.021w     36 calls
| DFH: AO-Met. Contraction  :      0.000u      0.000s      0.002w     36 calls
